201000959,HOLCOMB,ataullah,m,08/17/1959,0007,00012353,12/01/2011,12/31/2026,N
201000967,FRANKS,athenias,f,08/25/1959,0001,00012345,01/01/2014,12/31/2026,N
201000968,SARGENT,atieno,f,08/26/1959,0002,00012345,01/01/2014,12/31/2026,N
201000969,NIEVES,atílio,m,08/27/1959,0003,00012345,01/01/2014,12/31/2026,N
201000970,DOWNS,atilio,m,08/28/1959,0004,00012345,01/01/2014,12/31/2026,N
201000971,RASMUSSEN,atiya,f,08/29/1959,0005,00012345,01/01/2014,12/31/2026,N
201000972,BIRD,atlas,m,08/30/1959,0006,00012345,01/01/2014,12/31/2026,N
201000973,HEWITT,atticus,m,08/31/1959,0007,00012345,01/01/2014,12/31/2026,N
201000982,HYDE,audra (1),f,09/09/1959,0002,00012347,06/01/2013,12/31/2031,N
201000983,FORBES,audra (2),f,09/10/1959,0003,00012347,06/01/2013,12/31/2031,N
201000984,GILLIAM,audrea,f,09/11/1959,0004,00012347,06/01/2013,12/31/2031,N
201000985,GUTHRIE,audrey,f,09/12/1959,0005,00012347,06/01/2013,12/31/2031,N
201000986,WOOTEN,august (1),m,09/13/1959,0006,00012347,06/01/2013,12/31/2031,N
201000995,KNOWLES,augustus,m,09/22/1959,0001,00012349,12/01/2012,12/31/2026,N
201000996,COOKE,aukusti,m,09/23/1959,0002,00012349,12/01/2012,12/31/2026,N
201000997,VELAZQUEZ,aulay,m,09/24/1959,0003,00012349,12/01/2012,12/31/2026,N
201000998,WHITLEY,aulus,m,09/25/1959,0004,00012349,12/01/2012,12/31/2026,N
201001000,VANG,aura,f,09/27/1959,0006,00012349,12/01/2012,12/31/2026,N
201001001,SMITH,aurangzeb,m,09/28/1959,0007,00012349,12/01/2012,12/31/2026,N
201001009,MOORE,aurelius,m,10/06/1959,0001,00012351,06/01/2012,12/31/2031,N
201001010,TAYLOR,aureole,f,10/07/1959,0002,00012351,06/01/2012,12/31/2031,N
201001011,ANDERSON,aurora,f,10/08/1959,0003,00012351,06/01/2012,12/31/2031,N
201001012,THOMAS,aurore,f,10/09/1959,0004,00012351,06/01/2012,12/31/2031,N
201001013,JACKSON,ausra,f,10/10/1959,0005,00012351,06/01/2012,12/31/2031,N
201001014,WHITE,austen,m,10/11/1959,0007,00012351,06/01/2012,12/31/2031,N
201001022,RODRIGUEZ,avedis,m,10/19/1959,0001,00012353,12/01/2011,12/31/2026,N
201001023,LEWIS,avelina,f,10/20/1959,0002,00012353,12/01/2011,12/31/2026,N
201001024,LEE,aveline,f,10/21/1959,0003,00012353,12/01/2011,12/31/2026,N
201001025,WALKER,averill,m,10/22/1959,0004,00012353,12/01/2011,12/31/2026,N
201001027,ALLEN,avi,m,10/24/1959,0006,00012353,12/01/2011,12/31/2026,N
201001906,CRAFT,charmaine,f,03/21/1973,0001,00012351,06/01/2012,12/31/2031,N
201001907,CLEVELAND,charmian,f,03/22/1973,0002,00012351,06/01/2012,12/31/2031,N
201001908,CLEMONS,charna,f,03/23/1973,0003,00012351,06/01/2012,12/31/2031,N
201001909,WYNN,charnette,f,03/24/1973,0004,00012351,06/01/2012,12/31/2031,N
201001910,NIELSEN,charo,f,03/25/1973,0005,00012351,06/01/2012,12/31/2031,N
201001911,BAIRD,chas,m,03/26/1973,0007,00012351,06/01/2012,12/31/2031,N
201001919,HOLDEN,chaya,f,04/03/1973,0001,00012353,12/01/2011,12/31/2026,N
201001920,RUTLEDGE,chayim,m,04/04/1973,0002,00012353,12/01/2011,12/31/2026,N
201001921,KINNEY,chaz,m,04/05/1973,0003,00012353,12/01/2011,12/31/2026,N
201001922,CLEMENTS,che,m,04/06/1973,0004,00012353,12/01/2011,12/31/2026,N
201001924,SLATER,chelo,f,04/08/1973,0006,00012353,12/01/2011,12/31/2026,N
201001925,HAHN,chelsea,f,04/09/1973,0007,00012353,12/01/2011,12/31/2026,N
201001933,JUSTICE,cheri,f,04/17/1973,0001,00012345,01/01/2014,12/31/2026,N
201001934,TYSON,cherice,f,04/18/1973,0002,00012345,01/01/2014,12/31/2026,N
201001935,SHARPE,cherie,f,04/19/1973,0003,00012345,01/01/2014,12/31/2026,N
201001936,WHITFIELD,cherilyn,f,04/20/1973,0004,00012345,01/01/2014,12/31/2026,N
201001937,TALLEY,cherise,f,04/21/1973,0005,00012345,01/01/2014,12/31/2026,N
201001938,MACIAS,cherish,f,04/22/1973,0006,00012345,01/01/2014,12/31/2026,N
201001939,IRWIN,chernobog,m,04/23/1973,0007,00012345,01/01/2014,12/31/2026,N
201001948,BOLTON,chevonne,f,05/02/1973,0002,00012347,06/01/2013,12/31/2031,N
201001949,MCFADDEN,cheyanne,f,05/03/1973,0003,00012347,06/01/2013,12/31/2031,N
201001950,LEVINE,cheyenne,f,05/04/1973,0004,00012347,06/01/2013,12/31/2031,N
201001951,GOOD,chi,f,05/05/1973,0005,00012347,06/01/2013,12/31/2031,N
201001952,BYERS,chiara,f,05/06/1973,0006,00012347,06/01/2013,12/31/2031,N
201001961,FINCH,chip,m,05/15/1973,0001,00012349,12/01/2012,12/31/2026,N
201001962,HEAD,chita,f,05/16/1973,0002,00012349,12/01/2012,12/31/2026,N
201001963,BURT,chiumbo,m,05/17/1973,0003,00012349,12/01/2012,12/31/2026,N
201001964,HENDRIX,chizoba,m,05/18/1973,0004,00012349,12/01/2012,12/31/2026,N
201001966,HANEY,chloe,f,05/20/1973,0006,00012349,12/01/2012,12/31/2026,N
201001967,FRANKS,chloris,f,05/21/1973,0007,00012349,12/01/2012,12/31/2026,N
201104497,HAYES,glendower,m,03/24/1979,0001,00012349,12/01/2012,12/31/2026,N
201104498,MYERS,glenice,f,03/25/1979,0002,00012349,12/01/2012,12/31/2026,N
201104499,FORD,glenn,m,03/26/1979,0003,00012349,12/01/2012,12/31/2026,N
201104500,HAMILTON,glenna,f,03/27/1979,0004,00012349,12/01/2012,12/31/2026,N
201104502,SULLIVAN,gloria,f,03/29/1979,0006,00012349,12/01/2012,12/31/2026,N
201104503,WALLACE,glorinda,f,03/30/1979,0007,00012349,12/01/2012,12/31/2026,N
201104511,ELLIS,gnaeus,m,04/07/1979,0001,00012351,06/01/2012,12/31/2031,N
201104512,HARRISON,gobán,m,04/08/1979,0002,00012351,06/01/2012,12/31/2031,N
201104513,GIBSON,gobind,m,04/09/1979,0003,00012351,06/01/2012,12/31/2031,N
201104514,MCDONALD,gobinet,f,04/10/1979,0004,00012351,06/01/2012,12/31/2031,N
201104515,CRUZ,gobnait,f,04/11/1979,0005,00012351,06/01/2012,12/31/2031,N
201104516,MARSHALL,gobnata,f,04/12/1979,0007,00012351,06/01/2012,12/31/2031,N
201104524,STEVENS,godric,m,04/20/1979,0001,00012353,12/01/2011,12/31/2026,N
201104525,TUCKER,godwin,m,04/21/1979,0002,00012353,12/01/2011,12/31/2026,N
201104526,PORTER,goffredo,m,04/22/1979,0003,00012353,12/01/2011,12/31/2026,N
201104527,HUNTER,gofraidh,m,04/23/1979,0004,00012353,12/01/2011,12/31/2026,N
201104529,CRAWFORD,göker,m,04/25/1979,0006,00012353,12/01/2011,12/31/2026,N
201104530,HENRY,golda,f,04/26/1979,0007,00012353,12/01/2011,12/31/2026,N
201104538,REYES,gopal,m,05/04/1979,0001,00012345,01/01/2014,12/31/2026,N
201104539,BURNS,goraidh,m,05/05/1979,0002,00012345,01/01/2014,12/31/2026,N
201104540,GORDON,göran,m,05/06/1979,0003,00012345,01/01/2014,12/31/2026,N
201104541,SHAW,goran,m,05/07/1979,0004,00012345,01/01/2014,12/31/2026,N
201104542,HOLMES,gord,m,05/08/1979,0005,00012345,01/01/2014,12/31/2026,N
201104543,RICE,gordana,f,05/09/1979,0006,00012345,01/01/2014,12/31/2026,N
201104544,ROBERTSON,gorden,m,05/10/1979,0007,00012345,01/01/2014,12/31/2026,N
201104553,FERGUSON,gösta,m,05/19/1979,0002,00012347,06/01/2013,12/31/2031,N
201104554,ROSE,gotam,m,05/20/1979,0003,00012347,06/01/2013,12/31/2031,N
201104555,STONE,gottfrid,m,05/21/1979,0004,00012347,06/01/2013,12/31/2031,N
201104556,HAWKINS,gottfried,m,05/22/1979,0005,00012347,06/01/2013,12/31/2031,N
201104557,DUNN,gotthard,m,05/23/1979,0006,00012347,06/01/2013,12/31/2031,N
201213027,REED,réamann,m,10/17/1969,0002,00012347,06/01/2013,12/31/2031,N
201213028,COOK,reanna,f,10/18/1969,0003,00012347,06/01/2013,12/31/2031,N
201213029,MORGAN,reannon,f,10/19/1969,0004,00012347,06/01/2013,12/31/2031,N
201213030,BELL,rearden,m,10/20/1969,0005,00012347,06/01/2013,12/31/2031,N
201213031,MURPHY,reba,f,10/21/1969,0006,00012347,06/01/2013,12/31/2031,N
201213040,PETERSON,rebekah,f,10/30/1969,0001,00012349,12/01/2012,12/31/2026,N
201213041,GRAY,rebekka,f,10/31/1969,0002,00012349,12/01/2012,12/31/2026,N
